,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,original_tags
RIL182_01256,172429.779,114984.468,147142.56,65481.868,21449,33464,231397.935,195412.258,40657,4668,5439,9404,"fig|536231.75.peg.1325|RIL182_01256   Protein translocase membrane subunit SecG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01257,179836.929,163981.144,206356.482,220308,126661.518,86923.924,234358.575,247278.253,145878.668,128183,131598,157457.168,"fig|536231.75.peg.1326|RIL182_01257   3'-to-5' exoribonuclease RNase R   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01258,86439.78,63812.358,86563.887,53148,38761.482,48237.777,84693.747,89060.639,46716,19769,16709,28011,"fig|536231.75.peg.1327|RIL182_01258   tmRNA-binding protein SmpB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01260,639,420,450.056,329,502,293,165,686,1150,86,71,92,"fig|536231.75.peg.1328|RIL182_01260   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1329   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",16985,12758,13563,1795,560,5543,1226,2138,2367,458,695,773,"fig|536231.75.peg.1329   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01261,355.162,358,560,191,310,152,503,482,271,99,37,138,"fig|536231.75.peg.1330|RIL182_01261   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1331   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",13,20,2,0,0,7,10,8,18,21,0,37,"fig|536231.75.peg.1331   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01262,1179,909,849,1299,891,885,983,1391,1347,1264,747,973,"fig|536231.75.peg.1332|RIL182_01262   Transcriptional regulator, LacI/PurR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01263,4504,3707.081,3310,8096,9792,4517.701,8246,10910,5835,7098,3165,5245,"fig|536231.75.peg.1333|RIL182_01263   Xylulose kinase (EC 2.7.1.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01264,2101,2121,2045,3660,2931,2009,3927,5007,2905,3566,1859,3060,"fig|536231.75.peg.1334|RIL182_01264   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01265,6312,4766,3734,10617,8988.627,5142,12886,19470.548,11725,17275,8252,12335,"fig|536231.75.peg.1335|RIL182_01265   predicted xylose isomerase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1336   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",5,0,2,0,0,0,1,0,0,0,0,0,"fig|536231.75.peg.1336   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01266,392.807,327.249,301.258,381.691,820.358,369.162,488.069,643.744,177,39,0,35,"fig|536231.75.peg.1337|RIL182_01266   Transcriptional regulator, Xre family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01267,3669.193,2996.751,3085.742,3990.309,5156.642,3608.838,8455.931,10307.35,6132,3115,1001,3010,"fig|536231.75.peg.1338|RIL182_01267   Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01268,728,513,654,1387,1560,1314.579,2045,2978,2539,1400,341,1352,"fig|536231.75.peg.1339|RIL182_01268   Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01269,1688.903,1193.394,1660.276,1874.805,2768.527,2057.463,2076.513,2360.436,2351.939,847,533,1054.952,"fig|536231.75.peg.1340|RIL182_01269   Type I restriction-modification system, specificity subunit S   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01270,228,166,221,140,220,175,324,404,490,271,87,174,"fig|536231.75.peg.1341|RIL182_01270   Integrase/recombinase (XerC/CodV family)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01271,13,15,10,8,36,64,33,35,69,35,20,0,"fig|536231.75.peg.1342|RIL182_01271   Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01272,2291.097,1924.606,2355.724,4026.195,7531.11,4033.959,2301.487,2851.564,3052.061,1402,799,1508.048,"fig|536231.75.peg.1343|RIL182_01272   Type I restriction-modification system, specificity subunit S   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01273,233,170,200,242,226,123,339,374,387,117,37,146,"fig|536231.75.peg.1344|RIL182_01273   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1345   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,3,0,0,0,0,2,1,4,0,0,0,"fig|536231.75.peg.1345   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01274,150,124,96,158,116,128,108,164,117,82,80,35,"fig|536231.75.peg.1346|RIL182_01274   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01275,13,5,5,10,11,5,18,6,0,0,0,0,"fig|536231.75.peg.1347|RIL182_01275   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01276,37023.947,17060,33066.044,15453.969,12858,14214,82829.798,55180.642,8897,6008,7288,12060,"fig|536231.75.peg.1348|RIL182_01276   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01277,1208,1090,1061,2551.031,1779,1041,1757.002,2462,2264,1213,736,1171,"fig|536231.75.peg.1349|RIL182_01277   DinG family ATP-dependent helicase CPE1197   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01278,297,204,197,529,194,441,535,1091,1485,927,294,715,"fig|536231.75.peg.1350|RIL182_01278   Transcriptional regulator, LysR family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1351   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1351   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01279,8454,6296,8420,9780,5345,5997,4194.583,7457,8703,4223,2224,3356,"fig|536231.75.peg.1352|RIL182_01279   Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01280,21,9,13,13,36,8,31.436,29.086,35,8,0,9,"fig|536231.75.peg.1353|RIL182_01280   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01281,847,524,627,1026,867,830,905,2006.914,1380,525,293,658,"fig|536231.75.peg.1354|RIL182_01281   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01282,276,170,274,586,405,472,353,690,954,425,131,404,"fig|536231.75.peg.1355|RIL182_01282   Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01283,260,199,251,275,244,281,258,518,653,272,37,261,"fig|536231.75.peg.1356|RIL182_01283   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01284,659,428,441,1063,508,511,590,1041,1504,524,360,411,"fig|536231.75.peg.1357|RIL182_01284   Histidinol-phosphatase (EC 3.1.3.15)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01285,79343.367,52573,70524.407,112596,145705,92819.6,94999.398,149939.633,222383.721,110134,47325,106502,"fig|536231.75.peg.1358|RIL182_01285   NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01286,12804,9855.275,12065.059,27308,40384,24899,25831.503,49938.656,64799,38917,12984,36786,"fig|536231.75.peg.1359|RIL182_01286   Phosphoglycerate kinase (EC 2.7.2.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01287,23127.443,16519,20182,33256,39645.425,34449,39561.043,47385.927,34120,19360,7714,20457,"fig|536231.75.peg.1360|RIL182_01287   Triosephosphate isomerase (EC 5.3.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01288,1651,1408,2028,5637,5960,3572,4156,6061,4928,2789,754,2215,"fig|536231.75.peg.1361|RIL182_01288   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01289,6653,5067,5608,15137,14024,12660,11623.124,20634.844,27444,13991,4715,13447,"fig|536231.75.peg.1362|RIL182_01289   2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01290,951,719,649,3023,2848,1447,1747,2940,2542,1234,440,1175,"fig|536231.75.peg.1363|RIL182_01290   Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01291,2323,1657,2115,4934,3769,3604,2881,6255.133,7309,4445,2486,3758,"fig|536231.75.peg.1364|RIL182_01291   Amidophosphoribosyltransferase (EC 2.4.2.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01292,2296,1736.002,2254.572,4280,4057,3633,3550,6068,8241,4397,2041,4110,"fig|536231.75.peg.1365|RIL182_01292   Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01293,1138,1041,1405,2582,3980,1583,909,1613,1319,635,770,601,"fig|536231.75.peg.1366|RIL182_01293   Lactaldehyde reductase (EC 1.1.1.77)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01294,469,399,396,939,570,372,1259,1620,1782,1231,370,734,"fig|536231.75.peg.1367|RIL182_01294   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01295,504,374,421,2385,1721,901,1276,2164,1146,804,553,682,"fig|536231.75.peg.1368|RIL182_01295   Ribulokinase (EC 2.7.1.16)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01296,704,528,440,2825,2415,969,1778,3912,2005,1542,1063,1115,"fig|536231.75.peg.1369|RIL182_01296   L-arabinose isomerase (EC 5.3.1.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01297,345,236,191,1187,1485,579,692,1344,715,799,368,556,"fig|536231.75.peg.1370|RIL182_01297   Transaldolase (EC 2.2.1.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01298,294,318,300,681,378,283,705,1209.005,533,494,258,342,"fig|536231.75.peg.1371|RIL182_01298   Transketolase, N-terminal section (EC 2.2.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01299,813,744,937,1393,894,733,1456,2700,1806,1144,458,931,"fig|536231.75.peg.1372|RIL182_01299   Transketolase, C-terminal section (EC 2.2.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01300,465,442,531,1691,1534,962,1274.101,2164,1186,957,381,797,"fig|536231.75.peg.1373|RIL182_01300   L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01301,432,362,330,1378,1050,690,1111,2109,1488,1290,336,1073,"fig|536231.75.peg.1374|RIL182_01301   Aldose 1-epimerase (EC 5.1.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1375   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,11,3,0,4,11,24,20,14,0,18,0,"fig|536231.75.peg.1375   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01302,855,769,892,1901.758,1276.614,880,1379,1734.477,870,673,325,408,"fig|536231.75.peg.1376|RIL182_01302   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01303,1672,1623,1565,5136.242,5126.386,2571,3110,4763.308,3724,3196,1632,1965,"fig|536231.75.peg.1377|RIL182_01303   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01304,31.04,12.04,15.379,293.3,198.116,29.092,5.501,22.151,7.489,54.517,18.173,0,"fig|536231.75.peg.1378|RIL182_01304   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01305,6,9,2,33,18,20,6,6,1,9,44,26,"fig|536231.75.peg.1379|RIL182_01305   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01306,247,208,177,360,285,201,156.706,174,153,139,57,83,"fig|536231.75.peg.1380|RIL182_01306   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01307,498,406,345,312,302,136,67,130,100,53,10,41,"fig|536231.75.peg.1381|RIL182_01307   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01308,86.374,41.981,26.274,127.578,23.884,78.197,44.443,74.392,24.135,0,0,24.996,"fig|536231.75.peg.1382|RIL182_01308   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01309,556.574,568.808,472.853,1195.326,814.566,570.536,669.39,1483.052,1478.792,367.539,475,604.833,"fig|536231.75.peg.1383|RIL182_01309   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01310,55.893,73.197,52.985,59.959,11,65.872,58.653,84.656,41,40,13,37,"fig|536231.75.peg.1384|RIL182_01310   TnpY-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01311,1,0,0,13,19,0,0,5,5,0,0,0,"fig|536231.75.peg.1385|RIL182_01311   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01312,789,769,914,457,745,577,440,281,202,64,23,167,"fig|536231.75.peg.1386|RIL182_01312   TrsK-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01313,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1387|RIL182_01313   Maff2 family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1388   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1388   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01314,1106,942,743,1031,1591,461,1212,2514,2428,842,386,581,"fig|536231.75.peg.1389|RIL182_01314   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01315,2252,2462,2805,1693,858,1013,1522,2761.193,2164,1123,1056,1021,"fig|536231.75.peg.1390|RIL182_01315   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01316,29.176,28.323,12,148.875,34,93.994,5.001,16.467,7.395,6.5,27,0,"fig|536231.75.peg.1391|RIL182_01316   FIG00521858: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01317,214,213,95,1128.727,382,487,48,82,105,76,99,22,"fig|536231.75.peg.1392|RIL182_01317   FIG00514472: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01318,44.142,32.45,29,36.845,17,30.002,7,13.001,35.76,5,0,0,"fig|536231.75.peg.1393|RIL182_01318   DNA replication protein DnaD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01319,122,126,53,322,170,152.301,20,36,25,31,27,71,"fig|536231.75.peg.1394|RIL182_01319   Helicase loader DnaI   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01320,70,96,60,49,15,73.699,16,41,11,12,43,6,"fig|536231.75.peg.1395|RIL182_01320   FIG00514266: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01321,8612,6281,6893,17243,25586,15375,29844.842,19042.887,5392,2860,2743,3335,"fig|536231.75.peg.1396|RIL182_01321   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01322,3140,2559.586,2521,3599,2076,2706,1426,2850,3684,1942,1359,1356,"fig|536231.75.peg.1397|RIL182_01322   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1398   Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)   [Roseburia intestinalis L1-82 | 536231.75]
",4,1,0,0,0,0,0,2,0,0,0,0,"fig|536231.75.peg.1398   Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01324,278,330,236,191.837,120,137,219,299,164,111,50,98,"fig|536231.75.peg.1400|RIL182_01324   Transcriptional regulator, Xre family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01325,38,23.006,29,109.163,30,73,66,83,49,42,18,40,"fig|536231.75.peg.1401|RIL182_01325   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01326,82.542,97.994,72,243.475,287,220,265,401.338,402,249,68,251,"fig|536231.75.peg.1402|RIL182_01326   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01327,362.458,368,411,504.525,511,299,556,541.662,543,519,154,342,"fig|536231.75.peg.1403|RIL182_01327   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01328,1681,1508,2119,1638,1372,1404,765,1547,1936,649,757,640,"fig|536231.75.peg.1404|RIL182_01328   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01329,18,27,4,291,24,173,13,12,18,57,9,16,"fig|536231.75.peg.1405|RIL182_01329   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01330,30,37,35,77,15,41,23,29,53,10,8,5,"fig|536231.75.peg.1406|RIL182_01330   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01331,22,34,32,71,18,26,1,22,19,3,0,27,"fig|536231.75.peg.1407|RIL182_01331   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01332,1311,864,945,1813,2541,1290,965,2377,3349,1244,857,1030,"fig|536231.75.peg.1408|RIL182_01332   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01333,171,222,99,1052,493,638,72,107,99,108,125,16,"fig|536231.75.peg.1409|RIL182_01333   nickase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01334,40,28,22,177,120,75,6,12,7,6,0,0,"fig|536231.75.peg.1410|RIL182_01334   DNA primase amino-terminal domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01335,281,247.277,163,1729,1624.241,939,70,111,123,108,48,105,"fig|536231.75.peg.1411|RIL182_01335   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01336,2,0,0,0,0,0,0,0,3,0,0,0,"fig|536231.75.peg.1412|RIL182_01336   FIG00528192: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01337,21831.555,18795,17749.84,126817.675,102248,53122.891,17984.338,21596.012,16862,18866,20429,11500,"fig|536231.75.peg.1413|RIL182_01337   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01338,2311,1981.313,2133.026,3146.664,2395.158,1625.629,2450.248,1952.172,1764,1313,995,1187,"fig|536231.75.peg.1414|RIL182_01338   Tn5252, Orf23   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01339,820,917.687,1050,1322.336,1000.842,570.371,1067.514,890.828,554,228,203,325,"fig|536231.75.peg.1415|RIL182_01339   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01340,1232,1113,1066,2574,1757,1034,2086,1626,760,399,254,584,"fig|536231.75.peg.1416|RIL182_01340   TrsE-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01341,287,289,247,693,760,348,413,428,160,160,111,188,"fig|536231.75.peg.1417|RIL182_01341   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01342,311,271,339,548,1129,563,1355.144,1542,844,333,49,509,"fig|536231.75.peg.1418|RIL182_01342   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01343,3998,3569,4433,4201,5397,4796,6387.271,5606,3057,1372,724,1705,"fig|536231.75.peg.1419|RIL182_01343   predicted ATP-dependent endonuclease, OLD family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01344,3,0,2,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1420|RIL182_01344   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01345,271,278,153,170.11,156,119,41,44,29,33,0,19,"fig|536231.75.peg.1421|RIL182_01345   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01346,117,132,79,407,317,274,42,47,29,19,0,12,"fig|536231.75.peg.1422|RIL182_01346   DNA topoisomerase III (EC 5.99.1.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01347,319,320,389,240,517,170,1927,1868,310,58,13,113,"fig|536231.75.peg.1423|RIL182_01347   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01348,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1424|RIL182_01348   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01349,583,524,422,1145,1051,583,252,354,415,186,156,165,"fig|536231.75.peg.1425|RIL182_01349   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01350,13920,14130.703,12443.058,11017,14934,9260,15238.187,15820,5922,2044,2468,3479,"fig|536231.75.peg.1426|RIL182_01350   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01352,240,255,202,414,261,185.083,178.153,267,220,136,63,114,"fig|536231.75.peg.1428|RIL182_01352   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
