,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_00486,0,8,5,0,1,0,0,0,0,0,25,0,19,20,12,"fig|536231.75.peg.502|RIL182_00486   DNA-cytosine methyltransferase (EC 2.1.1.37)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.503|RIL182_00487   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00488,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,"fig|536231.75.peg.504|RIL182_00488   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00489,1,6,10,0,0,0,4,0,12,32,34,53,60,16,22,"fig|536231.75.peg.505|RIL182_00489   TraE-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00490,0,4,1,0,0,0,0,0,8,0,40,0,13,0,9,"fig|536231.75.peg.506|RIL182_00490   FIG00514048: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"fig|536231.75.peg.507|RIL182_00491   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00492,0,0,4,0,0,0,0,0,0,0,9,14,14,20,2,"fig|536231.75.peg.508|RIL182_00492   FIG00516862: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00493,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"fig|536231.75.peg.509|RIL182_00493   FIG01019951: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00494,0,2,0,0,0,2,0,0,0,0,0,0,0,9,5,"fig|536231.75.peg.510|RIL182_00494   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00495,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,"fig|536231.75.peg.511|RIL182_00495   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.512|RIL182_00496   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.513|RIL182_00497   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00498,0,0,1,1,0,0,0,5,0,12,0,0,0,5,0,"fig|536231.75.peg.514|RIL182_00498   DNA methyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00499,9,0,0,0,0,0,0,0,0,0,0,0,12,0,5,"fig|536231.75.peg.515|RIL182_00499   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00500,0,0,5,0,0,0,0,12,0,15,5,62,23,17,5,"fig|536231.75.peg.516|RIL182_00500   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00501,37,110.266,73.997,10,0,4,0,0,6,23,24,13.013,109.97,158.998,103.075,"fig|536231.75.peg.517|RIL182_00501   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00502,220,708.734,639.003,32,27,6,110,171,50,3840,2814,4106.987,1691.03,1619.002,1979.62,"fig|536231.75.peg.518|RIL182_00502   PIN domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00503,121,136,122,10,16,15,11,2,19,1572,1153,1909,1205,944,1106.098,"fig|536231.75.peg.519|RIL182_00503   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00504,427,726,833.45,163,268,239,189,376,237,10706.885,8138.851,12026,16053.166,12858.081,15962.506,"fig|536231.75.peg.520|RIL182_00504   Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00505,3,28,24,8,6,0,0,0,0,41,13,59,81,91,91.495,"fig|536231.75.peg.521|RIL182_00505   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00506,76,66,70,1,11,7,0,0,0,131,192,144,670,447,606,"fig|536231.75.peg.522|RIL182_00506   FIG00515486: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00507,0,0,4,0,0,0,0,0,0,0,9,21,49,25,28,"fig|536231.75.peg.523|RIL182_00507   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00508,0,6,3,0,0,0,6,17,0,37,2,55,30,25,32,"fig|536231.75.peg.524|RIL182_00508   FIG00518470: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.525|RIL182_00509   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00510,31,71,59,32,14,36,135,104,145,4056,3867,5035,4861,3448,3437,"fig|536231.75.peg.526|RIL182_00510   transcriptional regulator, LytR/AlgR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00511,63,98,83,25,76,25,136,233,206,4368,3602,5513,6021,4513.175,4845,"fig|536231.75.peg.527|RIL182_00511   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00513,45,169,128,202,145,123,167,103,117,4215,5968,3928,14084,11691,10568,"fig|536231.75.peg.528|RIL182_00513   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00514,48,74,52,79,136,99,186,340,173,9686,7610,8617,18846,16503,16249,"fig|536231.75.peg.529|RIL182_00514   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.530   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,1,0,0,0,0,17,14,0,24,0,178,138,93,"fig|536231.75.peg.530   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.531   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",5,10,9,7,15,11,50,48.997,43,2097.534,2119.01,2151.403,1889.935,1619.903,1418.674,"fig|536231.75.peg.531   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00515,98,182,164,226,195,221,356,408.003,289,22219.466,19476.99,24194.171,59898.1,44642.097,46613.372,"fig|536231.75.peg.532|RIL182_00515   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00516,60,62,72,79.999,117.873,98,290,292,98,10102.818,10549.494,10359.267,24878.664,19693.018,20808.482,"fig|536231.75.peg.533|RIL182_00516   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00517,82,142,107,95.001,187.127,158,153,327,165,8309.182,7161.506,9207.733,28809.302,19226.982,20272.518,"fig|536231.75.peg.534|RIL182_00517   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.535   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,3,0,0,0,0,0,0,45,14,4,21,2,"fig|536231.75.peg.535   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00518,58,136,167,186,284,258,292,308,320,9039,11646,9838,34728,28427,26008,"fig|536231.75.peg.536|RIL182_00518   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00519,86,165,158,220,249,264,411,312,280,11522,13722,11812,37497,25450,25210.521,"fig|536231.75.peg.537|RIL182_00519   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00520,35,59,74,95,112,113,193,193,78,5923,5705,6527,17190,12365,13014,"fig|536231.75.peg.538|RIL182_00520   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00521,8,29,19,38,47,46,14.013,7,14,581.048,738.163,513.122,4452.066,3692,2915.068,"fig|536231.75.peg.539|RIL182_00521   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.540   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,43,28,18,32,15,21,"fig|536231.75.peg.540   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00522,27,35,29,50,47,56,78.987,68,114,4203.88,3088.837,4598.874,8757.401,6556.024,7658.532,"fig|536231.75.peg.541|RIL182_00522   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00523,78,74,50,50,137,100,148,419,231,11580.043,7567,12507,21616.533,16300.976,18797.397,"fig|536231.75.peg.542|RIL182_00523   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.543   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,7,19,5,4,4,33,38,65,1266.029,697,1375.004,1476,1162,1195.003,"fig|536231.75.peg.543   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00524,3,2,13,11,0,3,0,0,0,21,36,0,167,229,236,"fig|536231.75.peg.544|RIL182_00524   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00525,39,58,79,15,38,12,27,51,25,854,927,1265,1993,1706,2043,"fig|536231.75.peg.545|RIL182_00525   Response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00526,30,14,31,22,17,25,45,41,28,1357,1127,1333,3755,2963,3371,"fig|536231.75.peg.546|RIL182_00526   ATP-binding region, ATPase-like   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00527,0,4,1,0,1,0,0,0,0,0,0,0,42.894,35,42.509,"fig|536231.75.peg.547|RIL182_00527   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00528,12,32,39,20,25,15,1,0,16,305,230,369,812.106,549,662.491,"fig|536231.75.peg.548|RIL182_00528   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00529,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,"fig|536231.75.peg.549|RIL182_00529   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.550   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,5,0,0,0,0,10,7,0,7,15,10,"fig|536231.75.peg.550   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.551   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.551   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00530,0,0,1,0,0,0,0,0,0,0,0,0,8,5,1,"fig|536231.75.peg.552|RIL182_00530   FIG01019976: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.553|RIL182_00531   FIG01020345: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00532,0,6,5,8,3,7,2,0,0,61,37,21,124,70,137,"fig|536231.75.peg.554|RIL182_00532   Phage integrase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00533,0,0,0,0,0,0,0,0,0,0,0,0,10,4,5,"fig|536231.75.peg.555|RIL182_00533   FIG01020249: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00534,4,1,0,0,0,0,0,0,0,13,16,0,34,36,35,"fig|536231.75.peg.556|RIL182_00534   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00535,0,0,0,0,1,0,0,0,0,0,0,12,13,4,6,"fig|536231.75.peg.557|RIL182_00535   FIG01020208: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00536,0,0,0,9.584,0,46.491,14.869,41.599,0,627.338,513.976,760.858,784.37,538.913,553.053,"fig|536231.75.peg.558|RIL182_00536   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00538,0,35.268,43.204,0,0,0,0,0,14.878,0,0,0,0,148.15,24.371,"fig|536231.75.peg.560|RIL182_00538   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00539,387,1163,1203,57,49,37,22,73,61,953,765,837,2037,1807,1861,"fig|536231.75.peg.561|RIL182_00539   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00540,364,863,1002,32,30,26,231,224,189,9204,6535,10274,2229,2205,2646,"fig|536231.75.peg.562|RIL182_00540   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00541,12,38.683,21.003,0,3,0,0,12,0,187.992,92.758,104.009,242.747,175.346,201.196,"fig|536231.75.peg.563|RIL182_00541   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00542,46,80.317,110.997,7.148,8,3,5,26,0,378.008,415.242,414.991,826.568,564.647,892.681,"fig|536231.75.peg.564|RIL182_00542   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00543,23,32,62,3.852,11,1,0,0,0,79,37,101,471.685,437.007,414.122,"fig|536231.75.peg.565|RIL182_00543   Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00544,504,689,841,68,73,62,87,86,42,2137,2124,2189,4473,2978,3972,"fig|536231.75.peg.566|RIL182_00544   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00545,399,733,1088,62,110,73,73,49,117,1891,1646,2858,3352,2261,3140,"fig|536231.75.peg.567|RIL182_00545   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.568   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.568   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00546,1051,3032.976,5755,220,369,293,164,85,87,3780,4189.746,3639.138,8582,6630.265,7580,"fig|536231.75.peg.569|RIL182_00546   Thioredoxin reductase (EC 1.8.1.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.570   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,9,10,2,0,5,0,0,0,35,17,9,27,29,32,"fig|536231.75.peg.570   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00547,567.382,998.644,2117.023,90.787,129,109.316,68.997,44.182,43.098,2566.812,1980.1,2662.172,4770.247,3522.722,4420.419,"fig|536231.75.peg.571|RIL182_00547   Thioredoxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00548,1029.618,1849.38,3583.977,133.213,267,200.684,185.003,325.818,214.902,7397.188,6140.153,9256.69,10411.753,7704.013,9711.581,"fig|536231.75.peg.572|RIL182_00548   Organic hydroperoxide resistance transcriptional regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00549,314,835,1109,131,228,134,130,186,98,3598,4141,3908,9416,6787,7346,"fig|536231.75.peg.573|RIL182_00549   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00550,801,1598,2305,206,242,145,400,380,236,7256,8032,6873,16615,12832,14639,"fig|536231.75.peg.574|RIL182_00550   Transcriptional regulator/TPR domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00552,267,359,333,82,116,51,96,141,25,2259.298,1599,2626,5836,4494,5647,"fig|536231.75.peg.576|RIL182_00552   ABC transporter membrane-spanning permease - macrolide efflux   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00553,86,152,172,8,21,33,0,0,0,100,106,61,563,412,462,"fig|536231.75.peg.577|RIL182_00553   Maltose operon transcriptional repressor MalR, LacI family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.578   4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,11,43.5,26.96,54.902,"fig|536231.75.peg.578   4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00554,306,505,3620,48,67,54,169,369,221,11257,9852,13241,25182.5,18621.04,21435.098,"fig|536231.75.peg.579|RIL182_00554   4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00555,3457,7810,21364,238,303,272,1031,1312,622,38195,28320,45184,86484,60880.605,69742.95,"fig|536231.75.peg.580|RIL182_00555   Maltodextrin ABC transporter, substrate-binding protein MdxE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00556,288,346,3012,43,29,55,182,191,49,6713,6671,7813,18585,17395,18515,"fig|536231.75.peg.581|RIL182_00556   Maltodextrin ABC transporter, permease protein MdxF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00557,296,368,3137,29,59,30,54,158,78,3029,2533,4057,11232,9092,10346,"fig|536231.75.peg.582|RIL182_00557   Maltodextrin ABC transporter, permease protein MdxG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00558,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.583|RIL182_00558   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00559,121,265,1270,17,33,34,148,215,87,3637,3329,3477,6176,5312,5410.44,"fig|536231.75.peg.584|RIL182_00559   Alpha-amylase (EC 3.2.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00560,915,1153,1430,114,162,127,25,29,6,549,814,686,1849,1369,1514,"fig|536231.75.peg.585|RIL182_00560   FIG01020339: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00561,11,13,13,9,13,21,18,0,17,114,90,135,1751,1166,1253,"fig|536231.75.peg.586|RIL182_00561   Transcriptional regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00562,2,5,6,2,0,0,0,0,0,114,65,88,239,218,219,"fig|536231.75.peg.587|RIL182_00562   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00565,155,213,466,19,18,22,0,5,0,205,106,156,567,378,464,"fig|536231.75.peg.588|RIL182_00565   glycogen debranching enzyme-related protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00566,316,478,463.598,88,55,78,34,0,0,247,214,320,1450,1137,1391,"fig|536231.75.peg.589|RIL182_00566   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00567,574,991,1167.402,80,112,107,92,47,6,1918,1772,1986,2234,1901,2184,"fig|536231.75.peg.590|RIL182_00567   Iron-sulfur cluster assembly ATPase protein SufC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00568,834,1394,1704,242,277,246,116,194,80,2987,2418,3033,3254,2732,3036,"fig|536231.75.peg.591|RIL182_00568   Iron-sulfur cluster assembly protein SufB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00569,40,35,36,11,6,7,10,9,0,33,65,53,294,238,199,"fig|536231.75.peg.592|RIL182_00569   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.593   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,"fig|536231.75.peg.593   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00570,75,159,170,65,40,48,30,136,12,2334,2363.485,3302.672,9686,8403,9747,"fig|536231.75.peg.594|RIL182_00570   Putative predicted metal-dependent hydrolase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00571,4,3,12,32,9,8,37,0,6,154,302,219,120,129,127,"fig|536231.75.peg.595|RIL182_00571   Uncharacterized protein BT_4646   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00572,7,56,58,28,21,21,34,5,0,717,1064.515,699.328,3409,2591,2332,"fig|536231.75.peg.596|RIL182_00572   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00573,0,0,0,5,0,0,0,0,0,0,0,0,21,15,15,"fig|536231.75.peg.597|RIL182_00573   Uncharacterized protein Cphy_1044   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00574,309,437,589,179,190,180,118,256,202,3426,3426,4218,16077,12017,13682,"fig|536231.75.peg.598|RIL182_00574   N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00576,874,1122,1973,194,217,206,87,112,82,1436,1412,1614,1457,1264,1408,"fig|536231.75.peg.600|RIL182_00576   CTP synthase (EC 6.3.4.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00577,3434,4907,6374,1123,1457,1184,789,1094,757,19281,18267,23821,38383,29670,35302,"fig|536231.75.peg.601|RIL182_00577   Cell division-associated, ATP-dependent zinc metalloprotease FtsH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00578,1118,1400,1920,472,677,654,517,537,244,7212,7792,8020,30675,22624,27109,"fig|536231.75.peg.602|RIL182_00578   Excinuclease ABC subunit C   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00579,822,978,1190,260,403,337,255,313,197,6558,6010,7141,23389,18496,20420,"fig|536231.75.peg.603|RIL182_00579   HPr kinase/phosphorylase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00580,1180,1669,1997,346,600,468,475,605,373,18839,17067,23432,47212,36809,41569,"fig|536231.75.peg.604|RIL182_00580   Probable M18-family aminopeptidase 1 (EC 3.4.11.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00581,456,1070,1386,170,274,254,209,160,100,3861,4697,4503,12770,9539,10349,"fig|536231.75.peg.605|RIL182_00581   UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00582,361,688,823,108,145,145,132,179,105,4000,4019,5401,9710,7509,8708,"fig|536231.75.peg.606|RIL182_00582   RNase adapter protein RapZ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00583,114,353,359,92,145,86,99,66,6,895,1221,1169,5658,4821,4374,"fig|536231.75.peg.607|RIL182_00583   Sporulation transcription regulator WhiA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00584,18,16,49,11,12,9,0,0,0,11,0,11,123,104,87,"fig|536231.75.peg.608|RIL182_00584   Catabolite repression HPr-like protein Crh   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00585,301,449,574,156,146,108,155,156,134,2534,2743,3945,8149,6188,6725,"fig|536231.75.peg.609|RIL182_00585   Transcription regulator [contains diacylglycerol kinase catalytic domain]   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00586,2544,4174,7500,522,605,509,166,199,57,3819,2658,4558,10562,8263,9892,"fig|536231.75.peg.610|RIL182_00586   Fructose-bisphosphate aldolase class II (EC 4.1.2.13)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00587,1226,1727,2501,211,259,169,42,222,166,4301,3670,5722,12010,10179.586,11654,"fig|536231.75.peg.611|RIL182_00587   Glutamine synthetase type III, GlnN (EC 6.3.1.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.612   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,"fig|536231.75.peg.612   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00588,27,22,28,6,6,9,8,0,0,121,138,178,340,394.414,454,"fig|536231.75.peg.613|RIL182_00588   Nitrogen regulatory protein P-II   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.614   Ammonium transporter   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,"fig|536231.75.peg.614   Ammonium transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
