,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
1240,RIL182_01250,Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17),ko:K11754,"6.3.2.12,6.3.2.17",COG0285,Belongs to the folylpolyglutamate synthase family,H
1241,RIL182_01251,Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-),ko:K19294,-,COG1696,Membrane protein involved in D-alanine export,M
1242,RIL182_01252,N-acylneuraminate cytidylyltransferase (EC 2.7.7.43),-,-,COG2755,GDSL-like Lipase/Acylhydrolase family,E
1243,RIL182_01253,hypothetical protein,NA,NA,NA,NA,NA
1244,RIL182_01254,Sensory box histidine kinase/response regulator,-,-,COG0642,response regulator receiver,T
1245,RIL182_01255,Enolase (EC 4.2.1.11),ko:K01689,4.2.1.11,COG0148,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,G
1246,RIL182_01256,Protein translocase membrane subunit SecG,ko:K03075,-,COG1314,Preprotein translocase SecG subunit,U
1247,RIL182_01257,3'-to-5' exoribonuclease RNase R,ko:K12573,-,COG0557,3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs,J
1248,RIL182_01258,tmRNA-binding protein SmpB,ko:K03664,-,COG0691,"the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA",O
1249,RIL182_01259,transfer-messenger RNA%2C SsrA,NA,NA,NA,NA,NA
1250,RIL182_01260,hypothetical protein,-,-,COG4636,Putative restriction endonuclease,S
1251,RIL182_01261,hypothetical protein,NA,NA,NA,NA,NA
1252,RIL182_01262,Transcriptional regulator%2C LacI/PurR family,ko:K02529,-,COG1609,"Bacterial regulatory proteins, lacI family",K
1253,RIL182_01263,Xylulose kinase (EC 2.7.1.17),ko:K00854,2.7.1.17,COG1070,"Carbohydrate kinase, FGGY",G
1254,RIL182_01264,hypothetical protein,-,-,28PTU,Domain of unknown function (DUF4867),S
1255,RIL182_01265,predicted xylose isomerase,-,-,COG2407,"Psort location Cytoplasmic, score 8.87",G
1256,RIL182_01266,Transcriptional regulator%2C Xre family,-,-,COG3655,Cro/C1-type HTH DNA-binding domain,K
1257,RIL182_01267,Type I restriction-modification system%2C restriction subunit R (EC 3.1.21.3),ko:K01153,3.1.21.3,COG4096,EcoEI R protein C-terminal,L
1258,RIL182_01268,Type I restriction-modification system%2C DNA-methyltransferase subunit M (EC 2.1.1.72),ko:K03427,2.1.1.72,COG0286,HsdM N-terminal domain,L
1259,RIL182_01269,Type I restriction-modification system%2C specificity subunit S,ko:K01154,3.1.21.3,COG0732,type I restriction,V
1260,RIL182_01270,Integrase/recombinase (XerC/CodV family),-,-,COG0582,Belongs to the 'phage' integrase family,L
1261,RIL182_01271,Type I restriction-modification system%2C specificity subunit S (EC 3.1.21.3),ko:K01154,3.1.21.3,COG0732,Type I restriction modification DNA specificity domain protein,V
1262,RIL182_01272,Type I restriction-modification system%2C specificity subunit S,ko:K01154,3.1.21.3,COG0732,Type I restriction modification DNA specificity domain,V
1263,RIL182_01273,hypothetical protein,-,-,COG4823,Abi-like protein,V
1264,RIL182_01274,hypothetical protein,ko:K21471,-,COG0791,NlpC p60 family protein,MT
1265,RIL182_01275,hypothetical protein,NA,NA,NA,NA,NA
1266,RIL182_01276,hypothetical protein,-,-,COG1925,"Psort location Cytoplasmic, score",G
1267,RIL182_01277,DinG family ATP-dependent helicase CPE1197,"ko:K07464,ko:K10844","3.1.12.1,3.6.4.12",COG1199,helicase,L
1268,RIL182_01278,Transcriptional regulator%2C LysR family,-,-,COG0583,lysR substrate binding domain,K
1269,RIL182_01279,Phosphoribosylformylglycinamidine synthase%2C synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase%2C glutamine amidotransferase subunit (EC 6.3.5.3),ko:K01952,6.3.5.3,COG0046,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,F
1270,RIL182_01280,hypothetical protein,-,-,COG4637,"Psort location Cytoplasmic, score 8.87",K
1271,RIL182_01281,hypothetical protein,-,-,2CBD1,-,-
1272,RIL182_01282,Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-),ko:K19294,-,COG1696,"Psort location CytoplasmicMembrane, score",M
1273,RIL182_01283,hypothetical protein,-,-,28IAA,DHHW protein,S
1274,RIL182_01284,Histidinol-phosphatase (EC 3.1.3.15),ko:K04486,3.1.3.15,COG1387,"Histidinol phosphate phosphatase, HisJ family",E
1275,RIL182_01285,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),ko:K00134,1.2.1.12,COG0057,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,G
1276,RIL182_01286,Phosphoglycerate kinase (EC 2.7.2.3),"ko:K00927,ko:K01803","2.7.2.3,5.3.1.1",COG0126,Belongs to the phosphoglycerate kinase family,F
1277,RIL182_01287,Triosephosphate isomerase (EC 5.3.1.1),ko:K01803,5.3.1.1,COG0149,Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P),G
1278,RIL182_01288,hypothetical protein,-,-,COG2755,lipolytic protein G-D-S-L family,E
1279,RIL182_01289,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12),ko:K15633,5.4.2.12,COG0696,Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate,G
1280,RIL182_01290,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6),"ko:K01923,ko:K01945,ko:K03566","6.3.2.6,6.3.4.13",COG0152,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,F
1281,RIL182_01291,Amidophosphoribosyltransferase (EC 2.4.2.14),ko:K00764,2.4.2.14,COG0034,Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine,F
1282,RIL182_01292,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2),ko:K01756,4.3.2.2,COG0015,Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily,F
1283,RIL182_01293,Lactaldehyde reductase (EC 1.1.1.77),ko:K00048,1.1.1.77,COG1454,alcohol dehydrogenase,C
1284,RIL182_01294,hypothetical protein,-,-,COG1309,"Psort location Cytoplasmic, score",K
1285,RIL182_01295,Ribulokinase (EC 2.7.1.16),-,-,COG1070,"Carbohydrate kinase, FGGY family protein",G
1286,RIL182_01296,L-arabinose isomerase (EC 5.3.1.4),ko:K01804,5.3.1.4,COG2160,Catalyzes the conversion of L-arabinose to L-ribulose,G
1287,RIL182_01297,Transaldolase (EC 2.2.1.2),ko:K00616,2.2.1.2,COG0176,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway,H
1288,RIL182_01298,Transketolase%2C N-terminal section (EC 2.2.1.1),ko:K00615,2.2.1.1,COG3959,Dehydrogenase E1 component,G
1289,RIL182_01299,Transketolase%2C C-terminal section (EC 2.2.1.1),ko:K00615,2.2.1.1,COG3958,Transketolase,G
1290,RIL182_01300,L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4),ko:K03077,5.1.3.4,COG0235,L-ribulose-5-phosphate 4-epimerase,G
1291,RIL182_01301,Aldose 1-epimerase (EC 5.1.3.3),ko:K01785,5.1.3.3,COG2017,Converts alpha-aldose to the beta-anomer,G
1292,RIL182_01302,hypothetical protein,-,-,COG4637,Predicted AAA-ATPase,S
1293,RIL182_01303,hypothetical protein,-,-,COG4637,"Psort location Cytoplasmic, score 8.87",K
1294,RIL182_01304,Transposase,-,-,COG4467,Transposase IS66 family,S
1295,RIL182_01305,hypothetical protein,-,-,COG4467,Transposase IS66 family,S
1296,RIL182_01306,hypothetical protein,-,-,COG0553,SNF2 family N-terminal domain,L
1297,RIL182_01307,hypothetical protein,-,-,COG0553,helicase C-terminal domain protein,L
1298,RIL182_01308,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
1299,RIL182_01309,Mobile element protein,-,-,COG2801,DDE domain,L
1300,RIL182_01310,TnpY-like protein,-,-,COG3598,"Psort location Cytoplasmic, score 8.87",L
1301,RIL182_01311,hypothetical protein,-,-,2E8ED,Transposon-encoded protein TnpW,S
1302,RIL182_01312,TrsK-like protein,ko:K03205,-,COG3505,"COG COG3505 Type IV secretory pathway, VirD4 components",U
1303,RIL182_01313,Maff2 family protein,-,-,2CDEH,Maff2 family,S
1304,RIL182_01314,hypothetical protein,-,-,28T24,-,-
1305,RIL182_01315,hypothetical protein,-,-,2F6MD,-,-
1306,RIL182_01316,FIG00521858: hypothetical protein,-,-,2C2YH,Bacterial mobilisation protein (MobC),S
1307,RIL182_01317,FIG00514472: hypothetical protein,-,-,COG1196,"Psort location Cytoplasmic, score 8.87",D
1308,RIL182_01318,DNA replication protein DnaD,-,-,COG3935,Phage replisome organizer N-terminal domain protein,L
1309,RIL182_01319,Helicase loader DnaI,ko:K02315,-,COG1484,"Psort location Cytoplasmic, score",L
1310,RIL182_01320,FIG00514266: hypothetical protein,-,-,2CM6M,Transposon-encoded protein TnpW,S
1311,RIL182_01321,hypothetical protein,-,-,2EKB3,Domain of unknown function (DUF5300),S
1312,RIL182_01322,Site-specific recombinase,-,-,COG1961,"Psort location Cytoplasmic, score",L
1313,RIL182_01323,hypothetical protein,-,-,COG5433,"PFAM Transposase, IS4-like",L
1314,RIL182_01324,Transcriptional regulator%2C Xre family,-,-,COG3655,Cro/C1-type HTH DNA-binding domain,K
1315,RIL182_01325,hypothetical protein,-,-,2C5R4,Transposon-encoded protein TnpV,S
1316,RIL182_01326,hypothetical protein,-,-,2BBXH,-,-
1317,RIL182_01327,hypothetical protein,-,-,29U77,-,-
1318,RIL182_01328,hypothetical protein,-,-,COG1396,Helix-turn-helix,K
1319,RIL182_01329,hypothetical protein,-,-,2CB8A,-,-
1320,RIL182_01330,hypothetical protein,-,-,COG1349,DeoR-like helix-turn-helix domain,K
1321,RIL182_01331,hypothetical protein,-,-,2B26K,"Psort location Cytoplasmic, score",S
1322,RIL182_01332,hypothetical protein,-,-,2EISZ,-,-
1323,RIL182_01333,nickase,-,-,COG0507,MobA MobL family protein,D
1324,RIL182_01334,DNA primase amino-terminal domain,-,-,COG0358,CHC2 zinc finger domain protein,L
1325,RIL182_01335,hypothetical protein,-,-,COG5545,"Psort location Cytoplasmic, score",S
1326,RIL182_01336,FIG00528192: hypothetical protein,-,-,2CCGJ,-,-
1327,RIL182_01337,hypothetical protein,-,-,COG1961,"Psort location Cytoplasmic, score",L
1328,RIL182_01338,Tn5252%2C Orf23,-,-,28HUM,"Psort location CytoplasmicMembrane, score",S
1329,RIL182_01339,hypothetical protein,-,-,28PED,PrgI family protein,S
1330,RIL182_01340,TrsE-like protein,-,-,COG3451,AAA-like domain,U
1331,RIL182_01341,hypothetical protein,-,-,COG0739,NlpC p60 family protein,M
1332,RIL182_01342,hypothetical protein,NA,NA,NA,NA,NA
1333,RIL182_01343,predicted ATP-dependent endonuclease%2C OLD family,-,-,COG1106,Protein of unknown function (DUF2813),S
1334,RIL182_01344,hypothetical protein,-,-,2F6I0,-,-
1335,RIL182_01345,predicted cleavage at residue 31,-,-,2DVNN,Domain of unknown function (DUF4366),S
1336,RIL182_01346,DNA topoisomerase III (EC 5.99.1.2),ko:K03169,5.99.1.2,COG0550,"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone",L
1337,RIL182_01347,hypothetical protein,NA,NA,NA,NA,NA
1338,RIL182_01348,hypothetical protein,-,-,29SBN,-,-
1339,RIL182_01349,hypothetical protein,-,-,COG0553,helicase C-terminal domain protein,KL
1340,RIL182_01350,hypothetical protein,-,-,COG4804,"Psort location Cytoplasmic, score 8.87",S
1341,RIL182_01351,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49),-,-,COG3344,Reverse transcriptase,L
1342,RIL182_01352,hypothetical protein,-,-,COG1669,"Psort location Cytoplasmic, score",L
1343,RIL182_01353,hypothetical protein,-,-,2DP0F,Putative tranposon-transfer assisting protein,S
1344,RIL182_01354,Vancomycin (or other glycopeptides) response regulator VanR %3D> unclassified,ko:K18349,-,COG0745,"response regulator, receiver",T
1345,RIL182_01355,Sensor histidine kinase VanS (EC 2.7.3.-),ko:K18350,2.7.13.3,COG0642,Histidine kinase,T
1346,RIL182_01356,ABC transporter%2C ATP-binding protein,ko:K01990,-,COG1131,Abc transporter,V
1347,RIL182_01357,hypothetical protein,-,-,COG1668,ABC-2 family transporter protein,CP
1348,RIL182_01358,hypothetical protein,-,-,2DPMD,-,-
1349,RIL182_01359,Tn916%2C hypothetical protein,-,-,2DP5Q,Cysteine-rich KTR,S
1350,RIL182_01360,hypothetical protein,-,-,COG1476,Helix-turn-helix XRE-family like proteins,K
1351,RIL182_01362,hypothetical protein,-,-,COG3843,Relaxase mobilization nuclease domain protein,U
1352,RIL182_01363,hypothetical protein,-,-,296J0,Bacterial mobilisation protein (MobC),S
1353,RIL182_01364,FIG01032237: hypothetical protein,-,-,COG2378,M protein trans-acting positive regulator (MGA) HTH domain,K
1354,RIL182_01365,hypothetical protein,-,-,2CCB2,Excisionase from transposon Tn916,S
1355,RIL182_01366,hypothetical protein,-,-,COG0582,DNA binding domain of tn916 integrase,L
1356,RIL182_01367,Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48),ko:K01104,3.1.3.48,COG0394,Belongs to the low molecular weight phosphotyrosine protein phosphatase family,T
1357,RIL182_01368,Neopullulanase (EC 3.2.1.135),-,-,COG0366,Belongs to the glycosyl hydrolase 13 family,G
1358,RIL182_01369,Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23),"ko:K01876,ko:K09759","6.1.1.12,6.1.1.23",COG0017,Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn),J
1359,RIL182_01370,Acetyltransferase%2C GNAT family / Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7),ko:K03790,2.3.1.128,COG0721,"acetyltransferase, GNAT family",J
1360,RIL182_01371,Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7),ko:K02433,"6.3.5.6,6.3.5.7",COG0154,Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln),J
1361,RIL182_01372,Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7),ko:K02434,"6.3.5.6,6.3.5.7",COG0064,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),J
1362,RIL182_01373,hypothetical protein,ko:K06950,-,COG1418,HD superfamily hydrolase,S
1363,RIL182_01374,Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 2,ko:K06147,-,COG1132,ABC transporter,V
1364,RIL182_01375,Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 1,ko:K06147,-,COG1132,Abc transporter,V
1365,RIL182_01376,Transcriptional regulator%2C MarR family,-,-,COG1846,"Transcriptional regulator, MarR family",K
1366,RIL182_01377,Ribonucleotide reductase of class III (anaerobic)%2C large subunit (EC 1.17.4.2),ko:K21636,1.1.98.6,COG1328,Ribonucleoside-triphosphate reductase,F
1367,RIL182_01378,hypothetical protein,ko:K18700,3.1.2.29,COG5496,Thioesterase superfamily,S
1368,RIL182_01379,Metal transporter%2C ZIP family,ko:K07238,-,COG0428,"Psort location CytoplasmicMembrane, score 9.99",P
1369,RIL182_01380,hypothetical protein,-,-,2F3F9,-,-
1370,RIL182_01381,hypothetical protein,-,-,COG1434,"Psort location CytoplasmicMembrane, score",O
1371,RIL182_01382,Ribonuclease HI (EC 3.1.26.4),"ko:K03469,ko:K06993",3.1.26.4,COG0328,Ribonuclease HI,L
1372,RIL182_01383,Transcriptional repressor of the arabinose operon,ko:K02103,-,COG1609,Periplasmic binding protein LacI transcriptional regulator,K
1373,RIL182_01384,Ribonucleotide reductase of class III (anaerobic)%2C activating protein (EC 1.97.1.4),ko:K04068,1.97.1.4,COG0602,"Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine",O
1374,RIL182_01385,hypothetical protein,NA,NA,NA,NA,NA
1375,RIL182_01386,Lysine-N-methylase (EC 2.1.1.-),ko:K18475,-,COG0727,N-methylation of lysine residues in flagellin K00599,S
1376,RIL182_01387,FIG01020301: hypothetical protein,NA,NA,NA,NA,NA
1377,RIL182_01388,hypothetical protein,ko:K01447,3.5.1.28,COG5632,n-acetylmuramoyl-l-alanine amidase,M
1378,RIL182_01389,Putative RNA methyltransferase,-,-,COG0116,Putative RNA methylase family UPF0020,L
1379,RIL182_01390,diguanylate cyclase/phosphodiesterase (GGDEF %26 EAL domains) with PAS/PAC sensor(s),-,-,COG2203,Diguanylate cyclase,T
1380,RIL182_01391,tRNA-Leu-AAG,NA,NA,NA,NA,NA
1381,RIL182_01392,tRNA-Ser,NA,NA,NA,NA,NA
1382,RIL182_01393,hypothetical protein,-,-,COG0317,PFAM Region found in RelA SpoT proteins,KT
1383,RIL182_01394,dNTP triphosphohydrolase%2C broad substrate specificity,ko:K01129,3.1.5.1,COG0232,Belongs to the dGTPase family. Type 2 subfamily,F
1384,RIL182_01395,DNA primase DnaG,ko:K02316,-,COG0358,RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication,L
1385,RIL182_01396,RNA polymerase sigma factor RpoD,ko:K03086,-,COG0568,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth,K
1386,RIL182_01397,tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217),ko:K06967,2.1.1.217,COG2384,"Psort location Cytoplasmic, score",L
