,gene_id,description,ko,EC_number,cogs,cogs_description
1242,BT_1220,6-phosphogluconolactonase,K01057,3.1.1.31,COG0363,Carbohydrate transport and metabolism
1243,BT_1221,glucose-6-phosphate 1-dehydrogenase,K00036,1.1.1.363,COG0364,Carbohydrate transport and metabolism
1244,BT_1222,6-phosphogluconate dehydrogenase%2Cdecarboxylating,K00033,1.1.1.343,COG0362,Carbohydrate transport and metabolism
1245,BT_1223,Na+/H+-dicarboxylate symporter,NA,NA,COG1301,Energy production and conversion
1246,BT_1224,GDP-mannose 4%2C6-dehydratase,K01711,4.2.1.47,COG1089,Cell wall/membrane/envelope biogenesis
1247,BT_1225,GDP-fucose synthetase,K02377,1.1.1.271,COG0451,Cell wall/membrane/envelope biogenesis
1248,BT_1226,putative long-chain-fatty-acid--CoA ligase,K01897,6.2.1.3,COG1022,Lipid transport and metabolism
1249,BT_1227,conserved hypothetical protein,NA,NA,NA,NA
1250,BT_1228,fructose-1%2C6-bisphosphatase,K04041,3.1.3.11,COG3855,Carbohydrate transport and metabolism
1251,BT_1229,conserved hypothetical protein%2C putative membrane protein,NA,NA,COG2985,General function prediction only
1252,BT_1230,hypothetical protein,NA,NA,NA,NA
1253,BT_1231,hypothetical protein,NA,NA,NA,NA
1254,BT_t21,tRNA-Ser,K14233,NA,NA,NA
1255,BT_t22,tRNA-Glu,K14224,NA,NA,NA
1256,BT_1232,hypothetical protein,NA,NA,NA,NA
1257,BT_1233,hypothetical protein,NA,NA,NA,NA
1258,BT_1234,conserved hypothetical protein,NA,NA,COG0664,Signal transduction mechanisms
1259,BT_1235,AraC-type transcription regulator,NA,NA,COG2207,Transcription
1260,BT_1236,2%2C3-cyclic-nucleotide 2-phosphodiesterase precursor,K01119,3.1.3.6,COG0737,Defense mechanisms
1261,BT_1237,two-component system sensor histidine kinase,NA,NA,COG0642,Signal transduction mechanisms
1262,BT_1238,putative RNA binding protein with S1 RNA-binding domain,K06959,NA,COG2183,Transcription
1263,BT_1239,putative metal-dependent membrane protease,K07052,NA,NA,NA
1264,BT_1240,conserved hypothetical protein,NA,NA,NA,NA
1265,BT_1241,hypothetical protein,NA,NA,NA,NA
1266,BT_1242,ABC transporter ATP-binding protein,NA,NA,COG0488,General function prediction only
1267,BT_1243,GrpE protein (Hsp-70 cofactor),K03687,NA,COG0576,"Posttranslational modification, protein turnover, chaperones"
1268,BT_1244,chaperone protein dnaJ,K03686,NA,COG0484,"Posttranslational modification, protein turnover, chaperones"
1269,BT_1245,transposase,NA,NA,COG3547,"Mobilome: prophages, transposons"
1270,BT_1246,transposase,NA,NA,NA,NA
1271,BT_1247,hypothetical protein,NA,NA,NA,NA
1272,BT_1248,putative transport protein,NA,NA,NA,NA
1273,BT_1249,putative multidrug resistance protein,K03543,NA,COG1566,Defense mechanisms
1274,BT_1250,conserved hypothetical protein%2C putative outer membrane efflux protein,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
1275,BT_1251,transcriptional regulator%2C MarR family,NA,NA,COG1846,Transcription
1276,BT_1252,possible transmembrane protein,NA,NA,NA,NA
1277,BT_1253,conserved hypothetical protein,NA,NA,NA,NA
1278,BT_1254,inner membrane protein,K06143,NA,COG4452,Defense mechanisms
1279,BT_1255,hypothetical protein,NA,NA,NA,NA
1280,BT_1256,conserved hypothetical protein,NA,NA,COG3877,Transcription
1281,BT_1257,helicase-like protein,NA,NA,COG2110,"Translation, ribosomal structure and biogenesis"
1282,BT_1258,putative acetyltransferase,NA,NA,COG0456,"Translation, ribosomal structure and biogenesis"
1283,BT_1259,choloylglycine hydrolase,NA,NA,COG3049,Cell wall/membrane/envelope biogenesis
1284,BT_1260,putative peptidase,NA,NA,NA,NA
1285,BT_1261,peptidase,NA,NA,COG1506,Amino acid transport and metabolism
1286,BT_1262,putative transcriptional regulator,NA,NA,COG1733,Transcription
1287,BT_1263,putative protease I,NA,NA,COG0693,Defense mechanisms
1288,BT_1264,two-component system sensor histidine kinase,NA,NA,COG2984,General function prediction only
1289,BT_1265,two-component system response regulator,NA,NA,COG3279,Transcription
1290,BT_1266,putative two-component system sensor protein,NA,NA,COG3275,Signal transduction mechanisms
1291,BT_1267,outer membrane protein,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
1292,BT_1268,transporter%2C AcrB/D/F family,NA,NA,COG0841,Defense mechanisms
1293,BT_1269,component of multidrug efflux system,NA,NA,COG0845,Defense mechanisms
1294,BT_1270,putative Na+/H+ antiporter,NA,NA,COG1757,Energy production and conversion
1295,BT_1271,30S ribosomal protein S16,K02959,NA,COG0228,"Translation, ribosomal structure and biogenesis"
1296,BT_1272,FucR,NA,NA,COG2188,Transcription
1297,BT_1273,L-fucose isomerase,K01818,5.3.1.3,COG2407,Carbohydrate transport and metabolism
1298,BT_1274,L-fuculose-1-phosphate aldolase,NA,NA,COG0235,Carbohydrate transport and metabolism
1299,BT_1275,L-fuculose kinase,K00848,2.7.1.5,COG1070,Carbohydrate transport and metabolism
1300,BT_1276,Rhamnose mutarotase,K03534,5.1.3.32,COG3254,Cell wall/membrane/envelope biogenesis
1301,BT_1277,L-fucose permease,K02429,NA,COG0738,Carbohydrate transport and metabolism
1302,BT_1278,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
1303,BT_1279,putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
1304,BT_1280,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
1305,BT_1281,SusD homolog,NA,NA,NA,NA
1306,BT_1282,conserved hypothetical protein,NA,NA,NA,NA
1307,BT_1283,putative patatin-like protein,NA,NA,NA,NA
1308,BT_1284,putative endo-beta-N-acetylglucosaminidase F1 precursor (mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase F1),NA,NA,NA,NA
1309,BT_1285,endo-beta-N-acetylglucosaminidase,NA,NA,NA,NA
1310,BT_1286,putative two-component system response regulator,NA,NA,COG2207,Transcription
1311,BT_1287,conserved hypothetical protein,NA,NA,NA,NA
1312,BT_1288,spermidine/putrescine ABC transporter,K11069,NA,COG0687,Amino acid transport and metabolism
1313,BT_1289,putrescine transport system permease protein potI,K11070,NA,COG1177,Amino acid transport and metabolism
1314,BT_1290,putrescine transport system permease protein potH,K11071,NA,COG1176,Amino acid transport and metabolism
1315,BT_1291,spermidine/putrescine transport ATP-binding protein,K11072,7.6.2.11,COG3842,Amino acid transport and metabolism
1316,BT_1292,thiol:disulfide interchange protein,NA,NA,COG1225,"Posttranslational modification, protein turnover, chaperones"
1317,BT_1293,alpha-glucan phosphorylase,K00688,2.4.1.1,COG0058,Carbohydrate transport and metabolism
1318,BT_1294,glycogen [starch] synthase%2C glycosyltransferase,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
1319,BT_1295,V-type sodium ATP synthase subunit K,K02124,NA,NA,NA
1320,BT_1296,V-type ATP synthase subunit I,K02123,NA,COG1269,Energy production and conversion
1321,BT_1297,V-type ATP synthase subunit D,K02120,NA,COG1394,Energy production and conversion
1322,BT_1298,V-type ATP synthase subunit B,K02118,NA,COG1156,Energy production and conversion
1323,BT_1299,V-type ATP synthase subunit A,K02117,7.2.2.1,COG1155,Energy production and conversion
1324,BT_1300,conserved hypothetical protein,NA,NA,NA,NA
1325,BT_1301,ATP synthase subunit E,K02121,NA,COG1390,Energy production and conversion
1326,BT_1302,hypothetical protein,NA,NA,NA,NA
1327,BT_1303,conserved hypothetical protein,NA,NA,NA,NA
1328,BT_1304,putative transcriptional regulator,NA,NA,COG1725,Transcription
1329,BT_1305,conserved hypothetical protein,NA,NA,NA,NA
1330,BT_1306,putative ABC transporter ATP-binding protein,K01990,NA,COG4555,Energy production and conversion
1331,BT_r01,5S ribosomal RNA,K01985,NA,NA,NA
1332,BT_r02,23S ribosomal RNA,K01980,NA,NA,NA
1333,BT_t23,tRNA-Ala,K14218,NA,NA,NA
1334,BT_t24,tRNA-Ile,K14227,NA,NA,NA
1335,BT_r03,16S ribosomal RNA,K01977,NA,NA,NA
1336,BT_1307,hypothetical protein,NA,NA,NA,NA
1337,BT_1308,clostripain-related protein,NA,NA,NA,NA
1338,BT_1309,conserved hypothetical protein,NA,NA,NA,NA
1339,BT_1310,conserved hypothetical protein,NA,NA,NA,NA
1340,BT_1311,RNA polymerase sigma factor rpoD (Sigma-A),K03086,NA,COG0568,Transcription
1341,BT_1312,serine protease precursor,NA,NA,COG0265,"Posttranslational modification, protein turnover, chaperones"
1342,BT_1313,muconate cycloisomerase,K19802,5.1.1.20,COG4948,Cell wall/membrane/envelope biogenesis
1343,BT_1314,dipeptidyl-peptidase VI,NA,NA,COG0791,Cell wall/membrane/envelope biogenesis
1344,BT_1315,ribonuclease BN,K07058,NA,COG1295,Function unknown
1345,BT_1316,putative NADH dehydrogenase/NAD(P)H nitroreductase,NA,NA,COG0778,Energy production and conversion
1346,BT_1317,riboflavin synthase alpha chain,K00793,2.5.1.9,COG0307,Coenzyme transport and metabolism
1347,BT_1318,signaling protein without kinase domain,NA,NA,COG3275,Signal transduction mechanisms
1348,BT_1319,two-component system response regulator,NA,NA,COG3279,Transcription
1349,BT_1320,putative transcriptional regulator%2C phosphate uptake regulation,K02039,NA,COG0704,Inorganic ion transport and metabolism
1350,BT_1321,putative phosphate transport ATP-binding protein,K02036,7.3.2.1,COG1117,Inorganic ion transport and metabolism
1351,BT_1322,putative ABC transporter permease protein,K02038,NA,COG0581,Inorganic ion transport and metabolism
1352,BT_1323,putative ABC transporter permease protein,K02037,NA,COG0573,Inorganic ion transport and metabolism
1353,BT_1324,phosphate ABC transporter%2C phosphate-binding protein,K02040,NA,COG0226,Inorganic ion transport and metabolism
1354,BT_1325,glutaminyl-tRNA synthetase,K01886,6.1.1.18,COG0008,"Translation, ribosomal structure and biogenesis"
1355,BT_1326,TPR domain-containing protein,NA,NA,COG3063,Cell motility
1356,BT_1327,putative alkaline phosphatase,NA,NA,COG0586,Cell wall/membrane/envelope biogenesis
1357,BT_1328,conserved hypothetical protein,NA,NA,NA,NA
1358,BT_1329,putative thiol peroxidase,K11065,1.11.1.24,COG2077,"Posttranslational modification, protein turnover, chaperones"
1359,BT_1330,conserved hypothetical protein,NA,NA,COG3247,General function prediction only
1360,BT_1331,conserved hypothetical protein,NA,NA,NA,NA
1361,BT_1332,putative racemase,K06997,NA,COG0325,Coenzyme transport and metabolism
1362,BT_1333,putative dihydropyrimidine dehydrogenase [NADP+] precursor,K00226,1.3.98.1,COG0167,Nucleotide transport and metabolism
1363,BT_1334,PhoH-like protein,K07175,NA,COG1875,General function prediction only
1364,BT_1335,folylpolyglutamate synthase,K11754,6.3.2.17,COG0285,Coenzyme transport and metabolism
1365,BT_1336,putative translation initiation inhibitor,K09022,3.5.99.10,COG0251,Defense mechanisms
1366,BT_1337,putative aminopeptidase C,NA,NA,COG3152,Function unknown
1367,BT_1338,dTDP-4-dehydrorhamnose 3%2C5-epimerase,K01790,5.1.3.13,COG1898,Cell wall/membrane/envelope biogenesis
1368,BT_1339,undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase,NA,NA,COG0472,Cell wall/membrane/envelope biogenesis
1369,BT_1340,putative lipopolysaccharide biosynthesis glycosyltransferase,NA,NA,COG1216,Carbohydrate transport and metabolism
1370,BT_1341,UDP-glucose 6-dehydrogenase,K00012,1.1.1.22,COG1004,Cell wall/membrane/envelope biogenesis
1371,BT_1342,putative UDP-glucuronic acid epimerase,K08679,5.1.3.6,COG0451,Cell wall/membrane/envelope biogenesis
1372,BT_1343,putative capsule biosynthesis protein,NA,NA,NA,NA
1373,BT_1344,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
1374,BT_1345,glycosyltransferase,NA,NA,NA,NA
1375,BT_1346,capsule biosynthesis protein capA,NA,NA,COG2843,Cell wall/membrane/envelope biogenesis
1376,BT_1347,glycoside transferase family 2,NA,NA,COG1216,Carbohydrate transport and metabolism
1377,BT_1348,CDP-abequose synthase,NA,NA,COG0451,Cell wall/membrane/envelope biogenesis
1378,BT_1349,dTDP-4-dehydrorhamnose epimerase-like protein,K01790,5.1.3.13,COG1898,Cell wall/membrane/envelope biogenesis
1379,BT_1350,CDP-glucose 4%2C6-dehydratase,K01709,4.2.1.45,COG0451,Cell wall/membrane/envelope biogenesis
1380,BT_1351,glucose-1-phosphate cytidylyltransferase,K00978,2.7.7.33,COG1208,"Translation, ribosomal structure and biogenesis"
1381,BT_1352,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
1382,BT_1353,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
1383,BT_1354,putative flippase,NA,NA,COG2244,Cell wall/membrane/envelope biogenesis
1384,BT_1355,putative protein involved in capsular polysaccharide biosynthesis,NA,NA,NA,NA
1385,BT_1356,putative capsule polysaccharide export protein,NA,NA,COG1596,Cell wall/membrane/envelope biogenesis
1386,BT_1357,conserved hypothetical protein,NA,NA,NA,NA
1387,BT_1358,putative transcriptional regulator,NA,NA,COG0250,Transcription
1388,BT_1359,Tetratricopeptide repeat family protein,NA,NA,COG4783,Cell wall/membrane/envelope biogenesis
1389,BT_1360,tRNA/rRNA methyltransferase,K03218,2.1.1.185,COG0566,"Translation, ribosomal structure and biogenesis"
1390,BT_1361,DNA repair protein recN (Recombination protein N),K03631,NA,COG0497,"Replication, recombination and repair"
1391,BT_1362,flavoprotein,K13038,6.3.2.5,COG0452,Coenzyme transport and metabolism
1392,BT_1363,DNA Pol III Epsilon Chain,K02342,2.7.7.7,COG0847,"Replication, recombination and repair"
1393,BT_1364,DNA polymerase III%2C beta chain,K02338,2.7.7.7,COG0592,"Replication, recombination and repair"
1394,BT_1365,conserved hypothetical protein,NA,NA,NA,NA
1395,BT_1366,conserved hypothetical protein,NA,NA,NA,NA
1396,BT_1367,hydrolase%2C metal-dependent,K06167,3.1.4.55,COG1235,Inorganic ion transport and metabolism
1397,BT_1368,UDP-N-acetylenolpyruvoylglucosamine reductase,K00075,1.3.1.98,COG0812,Cell wall/membrane/envelope biogenesis
1398,BT_1369,conserved hypothetical protein,NA,NA,NA,NA
1399,BT_1370,NAD dependent nucleotide-diphosphate-sugar epimerase,NA,NA,COG0451,Cell wall/membrane/envelope biogenesis
1400,BT_1371,2-amino-3-ketobutyrate coenzyme A ligase,K00639,2.3.1.29,COG0156,Coenzyme transport and metabolism
1401,BT_1372,conserved hypothetical protein,NA,NA,NA,NA
1402,BT_1373,ferritin A,K02217,1.16.3.2,COG1528,Inorganic ion transport and metabolism
1403,BT_1374,diaminopimelate decarboxylase,K01586,4.1.1.20,COG0019,Amino acid transport and metabolism
1404,BT_1375,aspartokinase,K00928,2.7.2.4,COG0527,Amino acid transport and metabolism
1405,BT_1376,putative ATP-binding protein involved in cell division,K09812,NA,COG2884,"Cell cycle control, cell division, chromosome partitioning"
1406,BT_1377,phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphohydrolase,K11755,3.6.1.31,COG0140,Amino acid transport and metabolism
1407,BT_1378,imidazole glycerol phosphate synthase subunit hisF,K02500,4.3.2.10,COG0107,Amino acid transport and metabolism
1408,BT_1379,phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase,K01814,5.3.1.16,COG0106,Amino acid transport and metabolism
1409,BT_1380,imidazole glycerol phosphate synthase subunit hisH,K02501,4.3.2.10,COG0118,Amino acid transport and metabolism
1410,BT_1381,formyltetrahydrofolate deformylase,K01433,3.5.1.10,COG0788,Nucleotide transport and metabolism
1411,BT_t25,tRNA-Asp,K14221,NA,NA,NA
1412,BT_t26,tRNA-Asp,K14221,NA,NA,NA
1413,BT_1382,putative protease,NA,NA,COG0693,Defense mechanisms
1414,BT_1383,oxidoreductase%2C aldo/keto reductase,K06221,1.1.1.346,COG0656,"Secondary metabolites biosynthesis, transport and catabolism"
1415,BT_1384,conserved hypothetical protein,NA,NA,COG3871,Function unknown
1416,BT_1385,transcriptional regulator,NA,NA,COG2207,Transcription
1417,BT_1386,conserved hypothetical protein,NA,NA,COG0664,Signal transduction mechanisms
1418,BT_1387,putative Na+-driven multidrug efflux pump,NA,NA,COG0534,Defense mechanisms
1419,BT_1388,integral membrane protein,K11741,NA,COG2076,Defense mechanisms
1420,BT_1389,conserved hypothetical protein,NA,NA,COG0664,Signal transduction mechanisms
1421,BT_1390,conserved hypothetical protein,NA,NA,NA,NA
1422,BT_1391,Bacterial outer membrane protein,NA,NA,COG2885,Cell wall/membrane/envelope biogenesis
1423,BT_1392,conserved hypothetical protein,NA,NA,NA,NA
1424,BT_1393,4-carboxymuconolactone decarboxylase,K01607,4.1.1.44,COG1917,General function prediction only
1425,BT_1394,putative flavoredoxin,NA,NA,COG1359,Energy production and conversion
1426,BT_1395,Flavodoxin,NA,NA,COG4925,Function unknown
1427,BT_1396,transcription regulator%2C AraC family,NA,NA,COG2207,Transcription
1428,BT_1397,putative membrane protein,NA,NA,COG0697,Carbohydrate transport and metabolism
1429,BT_1398,putative aminotransferase B,K14155,4.4.1.13,COG1168,Amino acid transport and metabolism
1430,BT_1399,conserved hypothetical protein,NA,NA,NA,NA
1431,BT_1400,putative hydrolase,K06889,NA,COG1073,Signal transduction mechanisms
1432,BT_1401,putative sugar transport protein,NA,NA,COG2814,Carbohydrate transport and metabolism
1433,BT_1402,iron-sulfur flavoprotein,NA,NA,COG0655,Energy production and conversion
1434,BT_1403,1-deoxy-D-xylulose 5-phosphate synthase,K01662,2.2.1.7,COG1154,Coenzyme transport and metabolism
1435,BT_1404,putative transcriptional regulator,NA,NA,COG2207,Transcription
1436,BT_1405,conserved hypothetical protein,NA,NA,COG2364,Function unknown
1437,BT_1406,transcriptional regulator%2C TetR family,NA,NA,COG1309,Transcription
1438,BT_1407,activator of (R)-2-hydroxyglutaryl-CoA dehydratase,NA,NA,COG3581,General function prediction only
1439,BT_1408,putative Tricorn-like protease,K08676,NA,COG4946,Function unknown
1440,BT_1409,putative homocysteine S-methyltransferase,NA,NA,COG2040,Amino acid transport and metabolism
1441,BT_1410,putative metallo-beta-lactamase,K06897,2.5.1.105,COG1237,General function prediction only
1442,BT_1411,methylated-DNA--protein-cysteine methyltransferase,K00567,2.1.1.63,COG0350,"Replication, recombination and repair"
1443,BT_1412,iron-sulfur flavoprotein,NA,NA,COG0655,Energy production and conversion
1444,BT_1413,putative transcription regulator,NA,NA,COG0664,Signal transduction mechanisms
1445,BT_1414,conserved hypothetical protein,NA,NA,NA,NA
1446,BT_1415,cytochrome c biogenesis protein ccsA,NA,NA,COG0755,"Posttranslational modification, protein turnover, chaperones"
1447,BT_1416,putative transmembrane protein,NA,NA,NA,NA
1448,BT_1417,cytochrome C552 precursor,K03385,1.7.2.2,COG3303,Inorganic ion transport and metabolism
1449,BT_1418,quinol oxidase,K15876,NA,COG3005,Energy production and conversion
1450,BT_1419,conserved hypothetical protein,NA,NA,NA,NA
